index,ticker,timestamp,open,high,low,close,volume
128.0,ABBV,2023-10-16,148.47,150.4,145.355,147.23,42906921
127.0,ABBV,2023-09-29,147.36,154.88,143.74,149.06,85059957
126.0,ABBV,2023-08-31,150.0,153.6,145.94,146.96,89768321
125.0,ABBV,2023-07-31,134.0,151.76,132.7,149.58,119863991
124.0,ABBV,2023-06-30,135.26,139.67,130.9601,134.73,135189166
123.0,ABBV,2023-05-31,150.84,155.02,135.25,137.96,120201771
122.0,ABBV,2023-04-28,158.25,166.2,147.16,151.12,98825274
121.0,ABBV,2023-03-31,152.76,159.7,146.575,159.37,153989811
120.0,ABBV,2023-02-28,146.63,154.745,143.44,153.9,119527203
119.0,ABBV,2023-01-31,162.04,168.11,144.41,147.75,119769796
118.0,ABBV,2022-12-30,161.0,167.75,159.82,161.61,102509521
117.0,ABBV,2022-11-30,146.66,161.18,143.03,161.18,113847877
116.0,ABBV,2022-10-31,135.88,153.99,135.3058,146.4,114547120
115.0,ABBV,2022-09-30,134.64,145.54,134.09,134.21,125265425
114.0,ABBV,2022-08-31,141.51,143.98,134.17,134.46,109508278
113.0,ABBV,2022-07-29,153.08,155.25,139.05,143.51,116519638
112.0,ABBV,2022-06-30,147.79,156.62,135.76,153.16,132594299
111.0,ABBV,2022-05-31,146.65,156.89,143.44,147.37,143481531
110.0,ABBV,2022-04-29,162.15,175.91,139.93,146.88,178745398
109.0,ABBV,2022-03-31,147.67,164.659,146.21,162.11,150829420
108.0,ABBV,2022-02-28,137.37,150.36,133.05,147.77,164140888
107.0,ABBV,2022-01-31,135.41,138.3,128.26,136.89,168301644
106.0,ABBV,2021-12-31,115.78,136.83,115.6,135.4,149689413
105.0,ABBV,2021-11-30,115.25,119.33,113.57,115.28,110962762
104.0,ABBV,2021-10-29,108.25,114.92,106.86,114.67,137405538
103.0,ABBV,2021-09-30,121.0,121.53,105.56,107.87,210525485
102.0,ABBV,2021-08-31,116.89,121.4,112.92,120.78,119733215
101.0,ABBV,2021-07-30,112.95,119.15,112.89,116.3,120210275
100.0,ABBV,2021-06-30,113.7,116.99,110.65,112.64,125324817
