ticker,timestamp,open,high,low,close,volume
ABBV,2023/10/16,148.47,150.4,145.355,147.23,42906921
ABBV,2023/09/29,147.36,154.88,143.74,149.06,85059957
ABBV,2023/08/31,150,153.6,145.94,146.96,89768321
ABBV,2023/07/31,134,151.76,132.7,149.58,119863991
ABBV,2023/06/30,135.26,139.67,130.9601,134.73,135189166
ABBV,2023/05/31,150.84,155.02,135.25,137.96,120201771
ABBV,2023/04/28,158.25,166.2,147.16,151.12,98825274
ABBV,2023/03/31,152.76,159.7,146.575,159.37,153989811
ABBV,2023/02/28,146.63,154.745,143.44,153.9,119527203
ABBV,2023/01/31,162.04,168.11,144.41,147.75,119769796
ABBV,2022/12/30,161,167.75,159.82,161.61,102509521
ABBV,2022/11/30,146.66,161.18,143.03,161.18,113847877
ABBV,2022/10/31,135.88,153.99,135.3058,146.4,114547120
ABBV,2022/09/30,134.64,145.54,134.09,134.21,125265425
ABBV,2022/08/31,141.51,143.98,134.17,134.46,109508278
ABBV,2022/07/29,153.08,155.25,139.05,143.51,116519638
ABBV,2022/06/30,147.79,156.62,135.76,153.16,132594299
ABBV,2022/05/31,146.65,156.89,143.44,147.37,143481531
ABBV,2022/04/29,162.15,175.91,139.93,146.88,178745398
ABBV,2022/03/31,147.67,164.659,146.21,162.11,150829420
ABBV,2022/02/28,137.37,150.36,133.05,147.77,164140888
ABBV,2022/01/31,135.41,138.3,128.26,136.89,168301644
ABBV,2021/12/31,115.78,136.83,115.6,135.4,149689413
ABBV,2021/11/30,115.25,119.33,113.57,115.28,110962762
ABBV,2021/10/29,108.25,114.92,106.86,114.67,137405538
ABBV,2021/09/30,121,121.53,105.56,107.87,210525485
ABBV,2021/08/31,116.89,121.4,112.92,120.78,119733215
ABBV,2021/07/30,112.95,119.15,112.89,116.3,120210275
ABBV,2021/06/30,113.7,116.99,110.65,112.64,125324817
ABBV,2021/05/28,112.4,118.28,111.59,113.2,151432684
ABBV,2021/04/30,108.92,112.61,104.17,111.5,134588899
ABBV,2021/03/31,108.53,111.08,102.05,108.22,168030371
ABBV,2021/02/26,103,110.27,101.86,107.74,141831911
ABBV,2021/01/29,107.18,113.41,101.8117,102.48,147712852
ABBV,2020/12/31,105.05,109.15,101.5478,107.15,142797150
ABBV,2020/11/30,86.03,105.8,86,104.58,202165468
ABBV,2020/10/30,88.17,88.8,79.1101,85.1,171550035
ABBV,2020/09/30,95.52,95.92,85.32,87.59,165933331
ABBV,2020/08/31,95.19,97.42,91.78,95.77,135946804
ABBV,2020/07/31,98.5,101.28,93.55,94.91,142070249
ABBV,2020/06/30,92.05,99.35,89.6,98.18,187430663
ABBV,2020/05/29,81.95,93.66,80.5,92.67,272446683
ABBV,2020/04/30,72.12,85.97,71.43,82.2,204672429
ABBV,2020/03/31,86,91.86,62.55,76.19,368052041
ABBV,2020/02/28,81.31,97.86,80.92,85.71,204643938
ABBV,2020/01/31,89.08,90.29,80.41,81.02,191549416
ABBV,2019/12/31,87.84,91.99,85.59,88.54,141829998
ABBV,2019/11/29,80.03,90.41,79.13,87.73,162856799
ABBV,2019/10/31,75.89,79.79,71.57,79.55,165129444
ABBV,2019/09/30,65.78,76.44,64.44,75.72,167829742
ABBV,2019/08/30,66.93,68.46,62.66,65.74,190272201
ABBV,2019/07/31,73.5,74.97,65.63,66.62,245440413
ABBV,2019/06/28,76.63,79.34,65.06,72.72,258341384
ABBV,2019/05/31,79.6,81.75,75.62,76.71,101085914
ABBV,2019/04/30,80.98,84.73,76.81,79.39,127086596
ABBV,2019/03/29,79.77,81.99,77.09,80.59,128127680
