ticker,timestamp,open,high,low,close,volume
PFE,10/16/23,32.95,34.11,32.015,33.27,322778635
PFE,9/29/23,35.64,36.29,31.7744,33.17,554713036
PFE,8/31/23,35.88,37.186,34.655,35.38,537148824
PFE,7/31/23,36.5,37.8,35.35,36.06,441688340
PFE,6/30/23,38.12,40.365,35.76,36.68,562663274
PFE,5/31/23,39,40.14,36.17,38.02,675659324
PFE,4/28/23,40.69,42.22,38.31,38.89,387231095
PFE,3/31/23,40.56,41.26,39.23,40.8,504077909
PFE,2/28/23,43.905,44.46,40.09,40.57,403993454
PFE,1/31/23,51.01,51.6,42.7,44.16,522768993
PFE,12/30/22,50.31,54.93,49.18,51.24,423161996
PFE,11/30/22,48,50.13,46.16,50.13,419224887
PFE,10/31/22,44.07,47.52,41.445,46.55,466833316
PFE,9/30/22,45.14,48.35,43.52,43.76,376258849
PFE,8/31/22,50.32,51.47,45.13,45.23,411876520
PFE,7/29/22,52.04,53.92,49.1,50.51,340232266
PFE,6/30/22,53.25,54.56,46.28,52.43,449240387
PFE,5/31/22,47.68,54.92,47.46,53.04,583021924
PFE,4/29/22,52.12,56.32,47.12,49.07,482012213
PFE,3/31/22,46.69,55.3,45.44,51.77,714463800
PFE,2/28/22,52.74,54.13,45.4,46.94,634315592
PFE,1/31/22,58.5,58.55,49.815,52.69,774270816
PFE,12/31/21,52.47,61.71,50.4,59.05,1063902734
PFE,11/30/21,44.14,55.7,43.05,53.73,1006946014
PFE,10/29/21,42.52,43.83,40.94,43.74,471555720
PFE,9/30/21,46.19,47.5,42.43,43.01,544786676
PFE,8/31/21,43.3,51.86,43.25,46.07,1008227290
PFE,7/30/21,39.17,43.74,38.93,42.81,525467995
PFE,6/30/21,38.94,40.72,38.475,39.16,485271176
PFE,5/28/21,39.04,41.09,37.96,38.73,592998935
PFE,4/30/21,36.3,39.67,35.76,38.65,558693730
PFE,3/31/21,33.59,36.74,33.44,36.23,675618323
PFE,2/26/21,35.93,36.19,33.36,33.49,663330294
PFE,1/29/21,36.87,37.83,35.62,35.9,689009947
PFE,12/31/20,39.4,43.0797,36.29,36.81,1163010880
PFE,11/30/20,35.93,41.99,35.54,38.31,1056869926
PFE,10/30/20,36.91,38.8479,34.6,35.48,526813927
PFE,9/30/20,37.79,37.82,35.375,36.7,484173720
PFE,8/31/20,38.61,39.1,37.4,37.79,446198750
PFE,7/31/20,34.54,39.45,33.1,38.48,781155683
PFE,6/30/20,35.5,36.66,31.61,32.7,768806034
PFE,5/29/20,37.85,39.01,36.59,38.19,450136112
PFE,4/30/20,31.92,39.22,31.53,38.36,505881905
PFE,3/31/20,33.91,36.46,27.88,32.64,967076272
PFE,2/28/20,37.46,38.57,32.53,33.42,556735271
PFE,1/31/20,39.3,40.97,36.69,37.24,504528881
PFE,12/31/19,38.79,39.62,37.79,39.18,367113669
PFE,11/29/19,38.69,38.94,36.3,38.52,423538118
PFE,10/31/19,35.93,38.82,34.6,38.37,386977467
PFE,9/30/19,35.61,37.76,35.51,35.93,421877796
PFE,8/30/19,38.31,38.62,33.97,35.55,607585953
PFE,7/31/19,43.51,44.56,38.51,38.84,560640386
PFE,6/28/19,41.63,44.29,41.57,43.32,437561440
PFE,5/31/19,40.59,42.48,39.87,41.52,524540458
PFE,4/30/19,42.58,43.28,38.42,40.61,461323305
PFE,3/29/19,43.61,43.79,40.34,42.47,525812964
PFE,2/28/19,42.87,43.78,41.21,43.35,427805576
PFE,1/31/19,43.12,43.7,39.47,42.45,599583699
PFE,12/31/18,46.37,46.47,40.42,43.65,536813715
PFE,11/30/18,43.2,46.26,42.35,46.23,481866439
PFE,10/31/18,44.03,45.81,41.66,43.06,573683296
PFE,9/28/18,41.48,44.46,41.22,44.07,350654034
PFE,8/31/18,39.63,42.77,39.49,41.52,474885890
PFE,7/31/18,36,39.99,36,39.93,401469004
PFE,6/29/18,36.26,36.8,35.73,36.28,434975835
PFE,5/31/18,35.58,36.25,34.37,35.93,485553527
PFE,4/30/18,35.42,37.27,34.76,36.61,422756960
PFE,3/29/18,36.12,37.04,34.32,35.49,469011855
PFE,2/28/18,36.61,37.4,33.2,36.31,549124278
PFE,1/31/18,36.38,39.43,36.23,37.04,472625424
PFE,12/29/17,36.29,37.35,35.15,36.22,308241020
PFE,11/30/17,35.01,36.48,34.795,36.26,276217129
PFE,10/31/17,35.67,36.78,34.105,35.06,334498467
PFE,9/29/17,33.94,36.21,33.75,35.7,380507501
PFE,8/31/17,33.04,34.02,32.32,33.92,381577008
PFE,7/31/17,33.48,33.97,32.69,33.16,299282196
PFE,6/30/17,32.67,34.48,31.67,33.59,458784885
PFE,5/31/17,33.89,33.99,31.97,32.65,514128367
PFE,4/28/17,34.11,34.52,33.47,33.92,352290570
PFE,3/31/17,34.27,34.75,33.72,34.21,515453201
PFE,2/28/17,31.51,34.46,31.26,34.12,519058232
PFE,1/31/17,32.7,33.7,30.9,31.73,526154205
PFE,12/30/16,32.25,33.3,30.51,32.48,506842275
